,4828
晚是,2
冰冷,7
几步,1
跳,5
挂水,1
300,17
交通不便,5
打桩机,3
查错,2
直来,1
四轮,2
多米,1
大呼,3
做出,6
小多差,1
参与,3
年底,1
无一是,1
非人,1
同时,42
无关,2
一拐,1
只够,2
减轻,1
之後經,1
且不说,2
冰凉,5
总是,25
Worse,1
并开,1
MD,2
本著,2
MM,2
父母,8
轰隆声,1
上全,2
更,124
掉皮,1
时不时,3
砸牌子,1
馒头,11
这么,125
這個,3
溅,3
电热水器,1
我出,1
till,1
墙上,13
属于,16
残缺,1
遗留,2
搞,38
前后左右,1
二层,1
一挤,1
80CM,1
吸取,1
至上,1
开启,5
不怕死,2
冷汗,1
定好,1
修养,1
国语,1
安置,1
小街,2
思意,2
花果山,1
无线网络,1
Those,1
正在,35
仅,9
全世界,4
纱窗,3
害人,2
杂七杂八,1
这一,3
怪状,2
减免,2
服務不錯,1
暖意,3
饮料,11
4002,5
冷水,11
出游,6
degrade,1
闹声,1
闷死,1
凤凰,3
王府,2
一换,2
不如意,3
留存,2
后毁,1
奇特,1
圆满,1
树,1
冷气,8
好久没,2
收录,1
同价位,2
之江,1
事实,8
Out,2
沉默,1
我关,1
指,12
近点,2
蚊,1
差评,1
完,35
新鲜,6
一排,1
回事,3
238,3
招手,2
四百块,1
230,2
休息,53
標準,4
赶着,3
风光,1
夜深人静,1
评语,8
肆无忌惮,1
陕甘,2
王老吉,1
美的,2
厨师,10
极差,75
去过,8
粉们,1
糊弄人,2
人民警察,1
单调,3
这件,4
这事,4
计入,1
铺垫,1
总机,10
两大团,1
刚退,1
天目山,1
梳化,2
密封,5
这些,42
实事,2
太太,4
先退,2
太大,11
傍边,2
最糟,3
贴着,5
班车,7
小袋,2
太多,12
好话,1
嗨,1
雪,1
入宿,2
软,4
窗门,1
做好,5
cannot,1
评论,19
测试,1
生锈,3
送上来,1
言,2
扩音器,4
叽里呱啦,1
瑞金,1
抠门,1
空烧,2
分钟,144
有始,2
那儿,8
被单,13
合适,7
继续,24
“,241
億,2
换气,4
保险丝,1
上去,24
用网,2
索菲特,3
房角,1
稱少,2
免得,7
糊涂,2
一条街,8
同期,2
值,4
铜锈,1
责任制,1
内有,7
被包,1
冷漠,9
破口大骂,1
自行安排,2
无可,1
晚班,1
发,12
我加,1
烈日,1
预付,4
水准,31
打招呼,6
有助于,1
屋子里,7
早出晚归,2
农家,1
喝得,1
上司,2
比较忙,1
圆珠笔芯,1
潮,6
修到,1
锁起来,1
铜臭,1
还慢,3
间加,2
堕落,4
乐山,1
蚊香,6
迷你型,2
程,1
糖醋,1
深感,5
拍摄,1
油腻,1
醒,4
外卖,1
接收,2
信心,2
想开,1
九江,2
全额,1
台风,1
别处,1
春节,11
计划,8
家,39
Ｙ,1
而定,1
显像管,1
换来,1
系统升级,1
外包,4
有够,3
喝酒,2
行李箱,2
鸡叫,1
1130,1
225,1
所有人,4
忠诚,1
上午,18
火才,1
一千六百,1
扫地出门,1
不太好,24
上升,3
口碑,1
打工,1
一切顺利,2
不值钱,2
极度,7
素斋,3
我刚,3
尖椒,2
诱使,1
警官,1
有天,1
头灯,1
交通,77
安慰,2
打电话,195
没事找事,2
车才,1
较贵,4
在内,2
上办,1
看清,1
洗衣费,2
我司,6
风口,3
保留,19
皮皮虾,1
举个,5
倒,67
度来,1
单身,1
上网费,2
依我看,1
open,1
德行,1
最高级,5
下楼去,3
大城市,3
九九,1
2,515
查找,2
无力,2
上加,2
几,2
明珠,6
拜拜,1
买回来,2
借出去,1
市郊,2
被划,1
放置,2
出水,14
几层楼,1
类似,7
外加,2
冷清,3
四部,1
同時,2
亿龙,1
轻声细语,1
建材,1
污秽不堪,1
新铺,1
直播,2
算命,1
极强,1
都,1240
歪风邪气,1
无处,1
真够,2
其慢,1
致电,42
反應,1
笋,2
世界,8
砸门,1
好太多,3
0791,1
喔,2
日出,2
飯店,4
偷钱,1
叨唠,1
丰田,2
浴帘霉成,1
折扣,2
太子,1
亮,4
付费,10
快线,2
敷衍了事,1
浙西,1
无则,2
切不可,1
范围,2
搞错,12
用纸,1
庐山,6
事大,2
卷,5
童床,1
最终,15
杂货店,2
拜托,5
敌,2
欢迎您,12
后楼,3
人员配备,2
半邊,1
弟兄,2
通向,2
知不知道,1
鸡犬不宁,1
发黑,7
兴冲冲,1
照,1
久远,1
张床,1
大连,6
除了,88
个人感觉,8
发黄,11
好觉,4
仅供参考,1
长,24
卷曲,1
掉牙,2
样查,1
發灰,1
鱼虾,1
庐宾,1
大人,4
塞得,1
世纪末,1
个人观点,1
无缘无故,2
糖霜,1
一星,2
碰到,30
这倒,1
山水,1
同意,28
再住,26
脾气,8
一是,4
檯,4
恰好,1
敏感,1
景点,18
还放,1
水垢,2
姑娘,2
空盒,2
接线生,1
在场,3
开元,3
催着,1
投訴,1
著名,2
开光,1
忍,11
推出,5
2702,1
夹,1
小费,3
一晚,56
浓郁,2
有待,12
供应商,1
退而求其次,1
床板,2
SOGO,2
任何,97
啦,24
星号,1
进人,1
安稳,2
脱落,5
头目,2
开关,7
日记本,1
前几日,2
冲泡,1
付现金,8
直接,91
勿,4
再会,1
疲惫不堪,2
吵闹声,3
減少,2
需要,111
供应,21
不大,5
傻站,1
房转,1
降到,9
橙子,2
至极,1
九十年代,3
冲水,2
连点,2
830,2
規則,1
多公里,1
床架,2
宽敞,9
两百多,1
已开,1
水在,2
体验,8
大上,1
床柜,1
点多进,1
公交车,10
沐浴,2
售品,1
屋,3
做不了,1
水坑,2
镑,2
风吹,1
過去,1
而已,16
星半,2
10.5,2
欣慰,4
媳妇,2
节日,2
只租,1
升至,1
从不,5
操心,1
季节,6
中国之最,2
补丁,1
领餐票,1
一曬,2
s,1
太小,64
后院,2
异味,38
她,180
擔憂,2
我同,1
着火,2
生喝,1
讲得,2
大便,2
黑脸,1
一月,1
工人,6
撕走,1
五环,1
太差,77
变通处理,2
整数,1
刺鼻,10
道谢,1
公共厕所,2
老兄,3
即便,6
断章,1
长沙,4
忠心,2
大连酒店,1
小雨,1
一本,5
楼层,79
旅伴,1
再也,41
周一,1
干淨,1
預訂,2
稳定,6
旅住,2
白布,1
车时,2
打扫卫生,3
球锁,1
醒来时,1
庆祝,1
涉外,2
三峡,2
尖沙咀,5
什邡,1
总控,1
好转,2
修过,2
真心,3
干涉,1
丢人,5
草鱼,1
一条,29
童,1
极大,6
一来,1
剪,2
再三,8
一杯,4
挡住,2
几下,1
理解,22
宽敞明亮,1
还算全,1
注重,4
空,11
统计,1
请谅解,2
抬杆,2
冲洗,5
其来,2
搞清楚,2
十月,2
上下,9
後,10
各式各样,2
DIY,3
三十,1
看得出,3
好辩,1
椅子,12
进位,1
大众,3
建筑施工,1
乐子,2
去试,4
熨,1
反掉,1
无名,1
投诉,92
货运站,1
品德,2
每位,7
再付,1
再交,2
干洗,4
兴亚,1
形象,9
I,9
请问,4
太好了,1
难得一见,3
去订,3
盒,4
小不说,1
商业中心,4
容易,11
雨来,1
客满,2
海景房,18
十来,4
货,1
暗淡,1
西街,3
好远,2
激动,1
大作,2
金融街,1
花色品种,1
单行,2
好过,1
激励,1
上周,1
水器,1
秸,1
推销,1
瘦瘦的,1
HBO,1
起步价,1
弯弯曲曲,1
210,1
五点,3
掉,34
顺着,2
优惠价,1
218,1
凸出,2
SP4rI,1
意见反馈,3
晦涩,3
冷死,2
昨晚,6
索,1
真让人,5
卖东西,2
一如既往,1
换掉,4
搬家,6
江南,1
闷气,1
第一张,2
委婉,1
反思,3
没供,1
止泻药,1
協調,2
黑色,13
托着,1
随便,25
好象,41
訂金,1
到哪去,1
套餐,10
胆战心惊,1
效率,13
交钱,4
呼气,2
日后,1
标示,1
寒碜,1
舍得,3
饭桶,1
吸烟,2
泄露,1
竟比前,1
大明山,1
在外,6
一点点,13
气温,5
祖国大陆,1
太平,1
温馨,16
一大群,4
坐车,1
涉嫌,2
传说,3
韩日,2
戴眼镜,4
广东,1
比小,1
老表,2
只算,2
压住,1
结转,2
专车,1
万古,2
完餐,2
911,2
文物,1
抗菌,2
奇痒,2
房费,82
考验,1
石金林,1
三個,1
痒,2
明白,19
汗,7
但床,1
先震,1
个性化,1
臭味儿,1
开口,4
抖动,2
坚称,2
刀磨,1
作出,11
没住,7
东方,7
外地,6
曰,25
咯人,1
纯粹,4
很旧,5
给钱,8
市长,4
韩文,1
Upgrade,1
記住,1
讨价还价,2
免费打,3
男服务员,9
含量,2
没亮,1
淄博,5
其时,1
平和,1
同房,1
没人,13
卷纸,1
汇东,2
美景,1
要略,1
太忙,3
her,1
在我看来,1
远达,2
理论,32
封闭,3
开到,5
康体,2
冲澡,3
圆筒形,1
反感,2
硬说是,3
外国,4
任,3
仁,1
审查,2
头痛,3
说句实话,2
面目全非,1
明知,2
大东海,2
多一点,2
驴车,1
农庄,1
好好看,2
更衣室,3
顶棚,1
长满,1
分量,1
住遍,1
理说,1
切防,1
各种各样,1
要用,3
年头,1
官宦,2
算了吧,1
好赚,1
毫米,3
真差,3
绕口令,1
订餐,3
县,2
真巧,2
区区,2
501,4
毗邻,2
约定,1
餐桌,2
写字楼,5
地理位置,51
＋,4
没个,2
am,1
al,2
诺曼,2
此家,3
把把关,1
差距,17
俯首,1
变成,8
换房,61
斜,2
没聊,1
满怀希望,1
高质,1
挂星,3
随之,1
一斤,2
一地水,2
消失,2
呻吟,2
喜剧,1
纸写,1
换成,13
页,1
续房,1
一方,1
刷牙,2
高贵,1
一旁,1
太强,1
谈起,2
大坡,2
之极,2
大片大片,1
一两,1
虎视耽耽,1
黄沙,1
定得,2
分配,4
眼皮底下,1
苞,2
查完,1
一旦,1
发传真,6
内部网,1
一早,15
路口,3
托盤,2
恶脏,2
早起,1
近距离,1
查实,1
西服,1
符合,24
這件,2
黄河,4
退,31
只放,1
征求,2
加快,1
只收,3
停业,2
餐饮店,2
眼度,1
热得,2
列举如下,2
焖,3
碰上,2
方方面面,1
总结,12
能算,4
眼底,1
失灵,2
回地,1
点心,6
连水,1
键,3
to,4
套间,14
风道,2
亚龙湾,4
失火,1
南楼,4
收个,1
貴,2
作何,1
热心,4
单间,25
checkin,2
大不一样,1
推土机,3
降价,1
CA1396,1
市话,7
先要,2
种类,11
`,9
提高质量,1
查,22
富仁坊,2
临时,17
开水壶,3
美容美发,1
爆满,1
申辩,1
补办,2
热忱,1
一刻,1
标本,1
保温,1
装饰,10
小床,1
球,1
部队,1
198,8
入眼,2
190,1
193,1
开灯,6
早早,4
老破破,1
花洒,12
快得,1
五,6
二十年,3
早日,2
用旧,1
鸟,2
成本价,2
看起来,20
从前,1
卡片,1
根本就是,11
具有,3
荣盛,1
四面,1
離店,2
Ｕ,2
大刀,2
改,9
蒸,2
老标间,1
覆辙,1
呃,3
留言,4
时好时坏,1
红薯,1
喧闹,1
没关,1
毒,2
和平,1
登入,1
水笼头,1
加强,31
补刷,2
正事,2
34,2
桌椅,4
赔付,1
快快,4
十多年,1
轰鸣声,5
最早,5
求助,1
几分钟,10
竞请,1
获得,2
三个,48
第四个,2
辛苦,5
拔掉,1
武汉,2
十几年来,1
蹿,1
经销商,1
那灯,1
2M,1
堆,1
娃哈哈,1
中石化,2
周到,3
板着脸,1
讲信用,1
高速公路,1
大厦,12
接线,11
承受能力,1
高利贷,1
原谅,2
镇上,2
股,6
筵席,1
折磨,4
热度,1
味精,1
临走时,1
拿纸,2
应变能力,1
算个,1
难得,3
进口,1
干燥,3
大厅,26
不规则,2
常年,1
6,196
分辨,1
要死,8
礼物,1
身穿,1
厕所,43
冷板凳,2
究竟,2
沙拉,3
促销,2
door,2
仁兄,1
龙城,2
年轻人,2
争气,1
粘糊糊,1
卡站,1
再刷,2
诚聘,19
真晕,1
标明,6
HAPPEN,1
同类,4
属,2
难忘,3
此行,1
大叔,1
加床,18
光顾,2
充满,5
居民楼,1
妄图,1
放盐,1
充滿,1
即可,2
均衡,1
一辆车,1
亲热,1
当着,1
比較,2
宁愿,10
没水,3
、,755
算了,18
腾腾,2
交警,1
开发区,8
CEO,2
几百间,1
好奇心,1
三位,4
不看,1
这回,1
兢兢业业,2
预售,2
管理人员,12
天宝,1
请要,1
清除,4
兩個,1
大包,3
一段路,1
早操,1
供参考,1
好几份,1
多数,1
虚弱,1
天宇,1
百汇,1
混用,1
文具,1
啃,2
际,1
傲慢,5
旅友,1
总缺,1
不象话,8
丢到,1
陈脏,1
开窗子,1
相,2
远洲,1
一个劲,1
管好,2
操作程序,2
冻醒,10
散,6
包天,2
回国,1
国道,2
视为,2
降低,3
应当,2
持双币,1
称,3
多放,2
男同事,2
名成,1
块钱,26
包头,4
多收,5
比较,334
综合,9
最最,5
非常重视,17
路上,19
皮炎,1
加工,2
职业道德,4
菜品,3
随口,1
而,109
对国宏,1
舌头,1
玛格丽特,1
498,3
关上灯,2
开会,9
考虑,63
可鞠,1
492,10
用来,6
鸭汤,1
飞机,43
内置,1
借去,1
真敢,1
双人房,15
四间,3
飘溢,2
仔细检查,1
先说,9
打车,37
PRIORITY,1
房里,7
只有,209
茶,11
付钱,11
提了,2
沿,2
清闲,1
爐灶,2
烧钱,1
重新认识,1
红五星,2
莫須,2
噪声,4
周全,1
巨差,3
太久,2
卖,10
五大三粗,1
前胸,1
速度慢,6
概况,2
日,430
拧,2
管理水平,4
巨川,4
先讲,1
车站,3
能租,2
没及,1
4008206666,2
没发,4
廳,2
Thanks,2
蟹,1
甚至于,1
借口,8
人要,1
应尽,1
写明,7
菜鸟,2
太叫,2
吸氧,1
端午节,2
传音,1
补偿,5
全家人,1
高速,8
逗,2
亭,1
老大爷,1
皇悦,2
一碟,2
输入,1
新融,1
前者,2
动静,5
撤,8
观景,5
挎包,1
一碰,4
较长,4
上饶市,1
车程,7
和尚,2
七瓶,1
男性,1
孤陋寡闻,1
慢慢,2
闷热,4
自称,7
本世纪初,1
顏色,3
IT,7
休闲游,1
POST,1
不堪,6
比较慢,3
处长,1
肥胖,2
这么着,1
切记,3
仨,2
密密麻麻,2
操作失误,1
医生,6
盗链,1
份儿饭,1
Ｈ,2
盆希里,2
招不招,2
NND,4
三峡大坝,2
常,2
陌生人,2
比起,11
尊,2
摊子,2
推说,3
升为,1
天天,5
早晨,31
只是,81
管家,7
淋浴室,2
IC,1
床头柜,5
机务段,1
比赛,1
开个,1
进出,8
キ,1
杂物,1
疯,6
阮,2
别说,13
这味,1
遭到,2
碧海,3
警察,7
话说回来,1
放松,1
吵多,1
遗漏,3
藏,2
迎来,1
万万,1
服務質素,1
浔,1
推卸责任,3
万一,12
旅游区,2
风寒,1
单双床,1
只晚,1
起风,1
叫,178
不成问题,1
charges,1
好几分钟,1
压力,3
起飞,1
坑里,1
湾,1
同级,3
吸尘器,3
弄坏,2
很,1171
母亲,3
横乱,1
及时发现,1
没到,5
圆球,1
胡小姐,2
开假后,1
备注,1
包子,4
关窗户,1
加层,1
五华,2
狗来,1
安歇,2
严厉,3
闭路电视,1
补充,168
多来,1
鸿展,2
我家,1
拆下来,2
办手续,13
巨小,1
进入,32
步骤,2
欧式,1
网络系统,1
窗边,1
百倍,1
烂,36
多月,1
奇,1
迹象,5
糊,1
目录,2
习惯,8
玩一玩,1
一种,18
等等,13
坦荡,1
一个天,1
带有,1
faint,1
无此,1
没处,1
也许,32
質,1
尽收眼底,2
闲人,2
管子,3
内线,2
大元,2
开价,6
郁闷,45
好重,2
划账,1
老款,1
威胁,2
人金贵,1
说得过去,1
精华游,2
关门大吉,1
洗不掉,10
幸好,11
森林公园,1
员工素质,1
此贴,1
器连个,1
场地,1
北京火车站,1
比不高,1
追问,2
背着,6
弱智,1
申请,3
坐飞机,2
兴坪,3
加拿大,2
宗和楼,1
没喝,2
多想,1
没说的,1
财务,4
承想,1
高雅,1
遵华,2
機個,2
日为,1
洗澡水,24
露光,2
金子,1
1400,2
参加,1
那位,15
伴随,1
表,2
鸡婆,1
更何况,2
截流,1
歌奏家,1
完菜,1
1404,4
褥子,5
成交,4
同行人,1
319,2
我定,15
水会,2
小门,1
景标,1
317,1
315,1
租住,1
出現,2
万事如意,1
赖,1
小间,1
前一天,11
剩余,2
房非,1
#,8
回去,19
绍兴,1
吱吱作响,2
东翼,2
晓得,9
摔下去,1
舒服,83
一线,2
浴,2
住宅区,1
空港,2
充电器,1
商务活动,1
换票,1
一经,1
顺手牵羊,2
稍贵,1
名不符实,1
并续,1
一给,1
出现,33
一大早,6
及格,2
可人,2
海虾,1
取代,1
